car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12784,8542,Rolls-Royce,Rolls-Royce Ghost,6.75 V12 Black Badge (A),POA,-,-,-,105459,8248,-,-,4.7010,Petrol,True
12784,7869,Rolls-Royce,Rolls-Royce Ghost,6.75 V12 Extended (A),POA,-,-,-,105459,8248,-,-,4.8010,Petrol,True
12787,7898,Mercedes-Benz,Mercedes-Benz GLE-Class Coupe Mild Hybrid,GLE53 AMG 4MATIC+ (A),572888,49100,229155,4946,105459,2384,101433,163153,5.3010,Petrol-Electric,True
12797,8145,BMW ALPINA,BMW ALPINA XD3 Diesel,3.0 (A),320800,-,-,-,105459,3476,-,-,4.9010,Diesel (Euro VI),False
12798,7936,Mercedes-Benz,Mercedes-Benz E-Class Saloon,E200 Avantgarde (A),373888,34000,149555,3228,105459,1202,53744,68739,7.5010,Petrol,True
12798,7937,Mercedes-Benz,Mercedes-Benz E-Class Saloon,E200 Exclusive (A),391888,35600,156755,3383,105459,1202,55314,71565,7.5010,Petrol,True
12798,7938,Mercedes-Benz,Mercedes-Benz E-Class Saloon,E200 AMG Line (A),401888,36300,160755,3469,105459,1202,58411,77140,7.5010,Petrol,True
12798,8523,Mercedes-Benz,Mercedes-Benz E-Class Saloon,E63 S AMG 4MATIC+ (A),728888,-,291555,6292,105459,3920,-,-,3.4010,Petrol,True
12802,7946,Suzuki,Suzuki Swift Mild Hybrid,1.2 Standard (A),135900,13500,40770,1369,86000,506,16449,1449,12.201,Petrol-Electric,True
12802,7956,Suzuki,Suzuki Swift Mild Hybrid,1.2 Standard Two-Tone (A),136900,13600,41070,1379,86000,506,17500,2500,12.201,Petrol-Electric,True
12804,8946,Volvo,Volvo XC90 Recharge Plug-in Hybrid,T8 Ultimate 7-Seater (A),448000,-,179200,3868,105459,4090,-,-,5.4010,Petrol-Electric,True
12805,7959,Lexus,Lexus IS 300h Hybrid,2.5 Executive (A),255800,23400,102320,2208,105459,1792,47414,43380,8.5010,Petrol-Electric,True
12805,8104,Lexus,Lexus IS 300h Hybrid,2.5 Luxury (A),265800,24200,106320,2295,105459,1792,50111,47200,8.5010,Petrol-Electric,True
12805,8311,Lexus,Lexus IS 300h Hybrid,2.5 F Sport (A),283800,25600,113520,2450,105459,1792,54546,55183,8.5010,Petrol-Electric,True
12806,8237,CUPRA,CUPRA Formentor,2.0 TSI DSG [190] (A),200888,18300,80355,1734,105459,1194,31481,36073,7.1010,Petrol,True
12807,8095,Nissan,Nissan Note e-POWER Hybrid,Premium (A),132800,-,-,-,86000,714,-,-,,Petrol-Electric,True
12807,8702,Nissan,Nissan Note e-POWER Hybrid,Premium Adventure Series (A),135800,-,-,-,86000,714,-,-,,Petrol-Electric,True
12810,7996,Toyota,Toyota Yaris Cross Hybrid,1.5 Active (A),152888,14600,61155,1320,86000,678,26007,13410,11.401,Petrol-Electric,True
12810,7997,Toyota,Toyota Yaris Cross Hybrid,1.5 Excite (A),157888,15000,63155,1363,86000,678,27868,16015,11.401,Petrol-Electric,True
12811,7977,Honda,Honda Jazz,1.5 CVT Base (A),60999,-,-,-,86000,684,16980,16980,,Petrol,False
12811,7978,Honda,Honda Jazz,1.5 CVT Home (A),62999,-,-,-,86000,684,17673,17673,,Petrol,False
12812,8727,Hyundai,Hyundai Palisade,3.5 V6 Sunroof 7-Seater (A),288999,26500,115600,2495,105459,3120,40542,48759,8.2010,Petrol,True
12814,8013,Peugeot,Peugeot 3008,1.2 PureTech EAT8 Active Premium (A),152888,14100,61155,1320,86000,508,22807,23930,10.901,Petrol,True
12814,8014,Peugeot,Peugeot 3008,1.2 PureTech EAT8 Allure Premium (A),169888,15400,67955,1467,86000,508,28478,31869,10.901,Petrol,True
